id,area_used,area,bedroom,wc,juridical,latitude,longitude,seniority,witdh,length,no_hospital_1km,no_school_1km,no_cafe_1km,no_restaurant_1km,no_atm_1km,no_bank_1km,no_supermarket_1km,no_marketplace_1km,no_pharmacy_1km,no_fuel_1km,address_district,address_ward,address_street,price(billionVND)
22520279,600.0,160.0,6.0,6.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,8.0,20.0,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4, Cao Lỗ,26.8
22338992,1.0,1.0,1.0,1.0,Sổ hồng,10.7884427,106.73433139999996,515.0,1.0,1.0,0.0,11.0,5.0,5.0,1.0,1.0,0.0,4.0,0.0,3.0, Quận 2 (TP. Thủ Đức), Phường Bình An, Đường số 13,28.0
22527975,198.0,62.0,6.0,5.0,Sổ hồng,10.745008945,106.682090755,1060.0,4.1,15.0,4.0,15.0,2.0,6.0,4.0,0.0,0.0,1.0,5.0,5.0, Quận 8, Phường 3,110/10 Tạ Quang Bửu,8.49
22528447,81.0,43.0,2.0,2.0,Sổ hồng,10.741486545,106.67586898500008,1060.0,3.42,17.8,3.0,15.0,6.0,6.0,4.0,1.0,0.0,2.0,5.0,5.0, Quận 8, Phường 4, Lê Ninh,5.99
22353148,1.0,1.0,1.0,1.0,Sổ hồng,10.7881082,106.77658529999997,515.0,1.0,1.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Nguyễn Duy Trinh,19.7
22539468,215.0,71.0,7.0,7.0,Sổ hồng,10.74192953,106.70975494000004,1060.0,4.0,19.0,0.0,11.0,17.0,24.0,13.0,5.0,0.0,2.0,8.0,4.0, Quận 7, Phường Tân Quy, Đường số 47,11.99
22524929,1.0,1.0,4.0,4.0,Sổ hồng,10.81340313,106.710811615,17.0,1.0,1.0,0.0,11.0,9.0,5.0,5.0,6.0,0.0,0.0,0.0,7.0, Quận Bình Thạnh, Phường 26, Xô Viết Nghệ Tĩnh,2.49
22524915,1.0,1.0,3.0,3.0,Sổ hồng,10.81246805,106.70149612,17.0,1.0,1.0,1.0,7.0,14.0,9.0,5.0,4.0,0.0,2.0,5.0,9.0, Quận Bình Thạnh, Phường 12, Ngô Đức Kế,1.48
22524903,1.0,1.0,3.0,3.0,Sổ hồng,10.829872605,106.69274139000004,17.0,1.0,1.0,2.0,12.0,7.0,10.0,5.0,4.0,0.0,2.0,3.0,4.0, Quận Gò Vấp, Phường 5, Nguyễn Thái Sơn,2.65
22524876,1.0,1.0,3.0,4.0,Sổ hồng,10.81578016,106.69408034999992,17.0,1.0,1.0,0.0,10.0,8.0,15.0,7.0,7.0,0.0,1.0,4.0,8.0, Quận Bình Thạnh, Phường 11, Lê Quang Định,2.145
21951892,241.0,241.0,1.0,1.0,Sổ hồng,10.7756337,106.7672731,515.0,14.2,17.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0, Quận 2 (TP. Thủ Đức), Phường Cát Lái, Nguyễn Thị Định,23.2
22524868,1.0,1.0,5.0,6.0,Sổ hồng,10.81207228,106.68751907499995,17.0,1.0,1.0,2.0,17.0,9.0,7.0,8.0,3.0,0.0,2.0,1.0,8.0, Quận Bình Thạnh, Phường 5, Nguyễn Trung Trực,1.84
21951894,1.0,1.0,3.0,2.0,Sổ hồng,10.784618855,106.77885055499996,515.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Đông, Đường số 51,8.5
22524855,1.0,1.0,2.0,3.0,Sổ hồng,10.757586955,106.68895721499996,17.0,1.0,1.0,4.0,16.0,51.0,75.0,12.0,17.0,0.0,5.0,9.0,8.0, Quận 1, Phường Cầu Kho, Trần Đình Xu,2.015
22524842,1.0,1.0,4.0,5.0,Sổ hồng,10.7961483,106.67974853499992,17.0,1.0,1.0,4.0,16.0,56.0,44.0,23.0,42.0,0.0,4.0,9.0,5.0, Quận Phú Nhuận, Phường 15, Huỳnh Văn Bánh,2.29
22524821,1.0,1.0,4.0,4.0,Sổ hồng,10.814869405,106.77146530000005,17.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0, Quận 9 (TP. Thủ Đức), Phường Phước Bình, Cầu xây,1.52
22243823,235.0,235.0,1.0,1.0,Sổ hồng,10.797850135,106.80248260500002,515.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Phú Hữu, Đỗ Xuân Hợp,13.5
22331756,1.0,1.0,13.0,13.0,Sổ hồng,10.769029615,106.78537368499995,515.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, Quận 2 (TP. Thủ Đức), Phường Cát Lái,214/ Lê Văn Thịnh,25.0
22524772,1.0,1.0,3.0,3.0,Sổ hồng,10.85523081,106.76452255000004,17.0,1.0,1.0,1.0,16.0,17.0,8.0,17.0,9.0,0.0,1.0,7.0,3.0, Quận Thủ Đức (TP. Thủ Đức), Phường Linh Chiểu, Tô Vĩnh Diện,1.385
22399520,1.0,1.0,1.0,1.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Đường số 13,11.5
22402036,1.0,1.0,1.0,1.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Đường 31,7.5
22403050,1.0,1.0,1.0,2.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây,217 Nguyễn Duy Trinh,26.0
22476831,1.0,1.0,4.0,4.0,Sổ hồng,10.783041475,106.75634003000005,515.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0, Quận 2 (TP. Thủ Đức), Phường Bình Trưng Tây, Đường số 35,7.2
